epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7974,0.0000,0.7111,645.8800,0.1547,0.8126,0.0000,0.7360,594.0634,0.1384
1,0.8090,0.0000,0.7525,639.8300,0.1381,0.8202,0.0000,0.7665,589.9984,0.1306
2,0.8240,0.0000,0.7868,635.0213,0.1273,0.8260,0.0000,0.7830,587.8512,0.1253
3,0.8357,0.0000,0.8068,631.8249,0.1201,0.8324,0.0000,0.7948,586.2201,0.1224
4,0.8461,0.0000,0.8225,629.1956,0.1142,0.8335,0.0000,0.8030,584.7782,0.1224
5,0.8544,0.0000,0.8343,626.8652,0.1090,0.8370,0.0000,0.8057,584.3738,0.1190
6,0.8614,0.0000,0.8442,624.8965,0.1047,0.8380,0.0000,0.8074,584.0292,0.1183
7,0.8669,0.0000,0.8515,623.3666,0.1011,0.8423,0.0000,0.8157,582.4479,0.1165
8,0.8715,0.0000,0.8575,621.9878,0.0982,0.8442,0.0000,0.8182,582.3290,0.1151
9,0.8756,0.0000,0.8630,620.8698,0.0956,0.8438,0.0000,0.8173,581.8712,0.1143
10,0.8790,0.0000,0.8673,619.9282,0.0935,0.8468,0.0000,0.8251,580.9128,0.1138
11,0.8825,0.0000,0.8718,619.0327,0.0916,0.8472,0.0000,0.8236,581.2391,0.1132
12,0.8850,0.0000,0.8749,618.3514,0.0901,0.8498,0.0000,0.8276,580.8101,0.1124
13,0.8879,0.0000,0.8784,617.6439,0.0885,0.8490,0.0000,0.8279,580.2625,0.1119
14,0.8901,0.0000,0.8812,617.0200,0.0871,0.8503,0.0000,0.8315,579.6484,0.1123
15,0.8924,0.0000,0.8839,616.4914,0.0859,0.8500,0.0000,0.8300,580.1454,0.1117
16,0.8943,0.0000,0.8863,615.9194,0.0847,0.8505,0.0000,0.8317,579.5776,0.1111
17,0.8960,0.0000,0.8883,615.4866,0.0837,0.8517,0.0000,0.8330,579.2911,0.1106
18,0.8979,0.0000,0.8904,615.0342,0.0827,0.8501,0.0000,0.8336,578.4207,0.1125
19,0.8989,0.0000,0.8916,614.7479,0.0820,0.8504,0.0000,0.8347,578.4332,0.1113
