epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8037,0.0000,0.7308,642.4133,0.1466,0.8327,0.0000,0.7976,585.1322,0.1179
1,0.8489,0.0000,0.8291,627.7058,0.1110,0.8585,0.0000,0.8412,577.1846,0.1008
2,0.8668,0.0000,0.8524,622.0908,0.0980,0.8726,0.0000,0.8588,572.7714,0.0897
3,0.8889,0.0000,0.8800,615.8239,0.0841,0.8974,0.0000,0.8891,566.4680,0.0778
4,0.9099,0.0000,0.9046,609.6092,0.0705,0.9053,0.0000,0.8978,562.8295,0.0705
5,0.9162,0.0000,0.9125,605.9097,0.0622,0.9125,0.0000,0.9083,559.9253,0.0623
6,0.9197,0.0000,0.9168,603.9844,0.0579,0.9159,0.0000,0.9127,558.8726,0.0589
7,0.9249,0.0000,0.9227,602.6621,0.0549,0.9196,0.0000,0.9156,557.6734,0.0573
8,0.9338,0.0000,0.9321,601.4125,0.0520,0.9216,0.0000,0.9184,557.7987,0.0575
9,0.9430,0.0000,0.9417,600.0511,0.0489,0.9291,0.0000,0.9269,556.5588,0.0541
10,0.9498,0.0000,0.9488,598.8668,0.0462,0.9336,0.0000,0.9315,555.4924,0.0521
11,0.9553,0.0000,0.9545,597.7525,0.0438,0.9422,0.0000,0.9406,554.2765,0.0493
12,0.9592,0.0000,0.9585,596.8881,0.0419,0.9465,0.0000,0.9454,553.7641,0.0475
13,0.9627,0.0000,0.9622,596.1538,0.0403,0.9388,0.0000,0.9371,554.6924,0.0525
14,0.9657,0.0000,0.9652,595.4107,0.0386,0.9479,0.0000,0.9467,552.7005,0.0471
15,0.9688,0.0011,0.9684,594.6362,0.0370,0.9549,0.0000,0.9539,552.0772,0.0433
16,0.9713,0.0000,0.9710,594.0220,0.0356,0.9459,0.0000,0.9449,552.2772,0.0498
17,0.9735,0.0032,0.9732,593.4930,0.0345,0.9530,0.0000,0.9521,551.2795,0.0456
18,0.9756,0.0032,0.9754,592.9507,0.0332,0.9602,0.0000,0.9596,549.6498,0.0409
19,0.9775,0.0063,0.9773,592.4113,0.0322,0.9585,0.0000,0.9581,550.3119,0.0440
