epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8043,0.0000,0.7423,642.2760,0.1505,0.8205,0.0000,0.7663,591.8647,0.1360
1,0.8403,0.0000,0.8103,632.6269,0.1219,0.8322,0.0000,0.7898,589.1171,0.1292
2,0.8606,0.0000,0.8413,627.0439,0.1096,0.8395,0.0000,0.8074,586.2702,0.1243
3,0.8725,0.0000,0.8580,623.4383,0.1019,0.8454,0.0000,0.8178,584.0905,0.1197
4,0.8806,0.0000,0.8685,620.9594,0.0963,0.8472,0.0000,0.8228,583.0944,0.1182
5,0.8872,0.0000,0.8768,618.9587,0.0919,0.8518,0.0000,0.8283,582.0264,0.1154
6,0.8930,0.0000,0.8839,617.3182,0.0883,0.8546,0.0000,0.8334,580.9719,0.1136
7,0.8974,0.0000,0.8892,616.0331,0.0853,0.8571,0.0000,0.8368,580.2408,0.1119
8,0.9011,0.0000,0.8937,614.8957,0.0828,0.8579,0.0000,0.8400,579.1335,0.1109
9,0.9045,0.0000,0.8977,613.9858,0.0808,0.8606,0.0000,0.8436,578.5687,0.1097
10,0.9075,0.0000,0.9013,613.1462,0.0790,0.8619,0.0000,0.8455,578.2053,0.1088
11,0.9101,0.0000,0.9043,612.4058,0.0773,0.8619,0.0000,0.8463,577.6230,0.1081
12,0.9126,0.0000,0.9072,611.7367,0.0758,0.8647,0.0000,0.8488,577.5540,0.1070
13,0.9144,0.0000,0.9093,611.2014,0.0746,0.8650,0.0000,0.8498,576.7799,0.1067
14,0.9166,0.0000,0.9118,610.5965,0.0733,0.8656,0.0000,0.8512,576.6639,0.1066
15,0.9182,0.0000,0.9136,610.1568,0.0722,0.8670,0.0000,0.8534,576.2879,0.1063
16,0.9197,0.0000,0.9153,609.6627,0.0712,0.8662,0.0000,0.8522,576.1883,0.1066
17,0.9213,0.0000,0.9171,609.2082,0.0703,0.8671,0.0000,0.8547,575.5963,0.1058
18,0.9227,0.0000,0.9187,608.8745,0.0694,0.8674,0.0000,0.8538,575.8326,0.1054
19,0.9237,0.0000,0.9198,608.5010,0.0686,0.8695,0.0000,0.8567,575.5538,0.1051
