epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.9063,0.0021,0.8877,615.2840,0.0828,0.9843,0.0000,0.9842,546.6916,0.0331
1,0.9959,0.5079,0.9959,585.5131,0.0164,1.0000,0.9949,1.0000,533.9524,0.0034
2,1.0000,0.9900,1.0000,578.8089,0.0016,1.0000,0.9949,1.0000,532.4271,0.0011
3,1.0000,0.9900,1.0000,578.4671,0.0008,1.0000,0.9949,1.0000,532.3349,0.0007
4,1.0000,0.9900,1.0000,578.3758,0.0006,1.0000,0.9949,1.0000,532.1076,0.0005
5,1.0000,0.9900,1.0000,578.3312,0.0005,1.0000,1.0000,1.0000,532.0492,0.0004
6,1.0000,0.9921,1.0000,578.3034,0.0004,1.0000,1.0000,1.0000,532.0547,0.0004
7,1.0000,0.9942,1.0000,578.2829,0.0003,1.0000,1.0000,1.0000,532.2490,0.0004
8,1.0000,0.9942,1.0000,578.2686,0.0003,1.0000,1.0000,1.0000,531.9404,0.0003
9,1.0000,0.9937,1.0000,578.2550,0.0003,1.0000,1.0000,1.0000,532.0723,0.0003
10,1.0000,0.9937,1.0000,578.2391,0.0002,1.0000,1.0000,1.0000,531.9904,0.0002
11,1.0000,0.9937,1.0000,578.2301,0.0002,1.0000,1.0000,1.0000,531.9600,0.0002
12,1.0000,0.9942,1.0000,578.2204,0.0002,1.0000,1.0000,1.0000,532.0329,0.0002
13,1.0000,0.9942,1.0000,578.2118,0.0002,1.0000,1.0000,1.0000,531.9903,0.0002
14,1.0000,0.9942,1.0000,578.2061,0.0001,1.0000,1.0000,1.0000,531.9472,0.0002
15,1.0000,0.9942,1.0000,578.2008,0.0001,1.0000,1.0000,1.0000,532.0248,0.0001
16,1.0000,0.9947,1.0000,578.1970,0.0001,1.0000,1.0000,1.0000,531.9970,0.0001
17,1.0000,0.9958,1.0000,578.1947,0.0001,1.0000,1.0000,1.0000,531.9732,0.0001
18,1.0000,0.9974,1.0000,578.1909,0.0001,1.0000,1.0000,1.0000,531.9698,0.0001
19,1.0000,0.9963,1.0000,578.1903,0.0001,1.0000,1.0000,1.0000,531.9465,0.0001
