epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8247,0.0000,0.7748,637.7221,0.1347,0.8304,0.0000,0.7811,589.1182,0.1275
1,0.8655,0.0000,0.8468,624.6810,0.1043,0.8455,0.0000,0.8140,583.6520,0.1166
2,0.8865,0.0000,0.8751,618.0668,0.0896,0.8515,0.0000,0.8289,581.0679,0.1128
3,0.8987,0.0000,0.8903,614.1679,0.0808,0.8581,0.0000,0.8360,580.2201,0.1089
4,0.9079,0.0000,0.9014,611.3870,0.0746,0.8586,0.0000,0.8388,579.0646,0.1081
5,0.9144,0.0000,0.9090,609.3577,0.0701,0.8601,0.0000,0.8401,578.9535,0.1068
6,0.9191,0.0005,0.9145,607.8364,0.0666,0.8613,0.0000,0.8433,578.4727,0.1067
7,0.9232,0.0032,0.9191,606.5937,0.0639,0.8638,0.0000,0.8465,577.8147,0.1052
8,0.9269,0.0021,0.9233,605.5874,0.0616,0.8641,0.0000,0.8474,577.4531,0.1042
9,0.9296,0.0026,0.9264,604.7096,0.0597,0.8651,0.0000,0.8486,576.9740,0.1041
10,0.9319,0.0053,0.9289,604.0588,0.0582,0.8665,0.0000,0.8508,576.4825,0.1034
11,0.9341,0.0053,0.9313,603.4273,0.0568,0.8667,0.0000,0.8524,575.8208,0.1029
12,0.9359,0.0053,0.9333,602.8473,0.0556,0.8656,0.0000,0.8510,576.1403,0.1034
13,0.9375,0.0074,0.9350,602.4104,0.0545,0.8678,0.0000,0.8545,575.2575,0.1024
14,0.9394,0.0090,0.9371,601.9113,0.0535,0.8690,0.0000,0.8556,575.2818,0.1026
15,0.9408,0.0095,0.9385,601.5390,0.0526,0.8682,0.0000,0.8554,575.3219,0.1022
16,0.9419,0.0121,0.9398,601.1959,0.0519,0.8680,0.0000,0.8546,574.9692,0.1021
17,0.9430,0.0116,0.9410,600.8758,0.0511,0.8697,0.0000,0.8568,574.8077,0.1012
18,0.9441,0.0084,0.9422,600.5392,0.0504,0.8700,0.0000,0.8584,574.2694,0.1011
19,0.9450,0.0148,0.9431,600.2685,0.0498,0.8687,0.0000,0.8560,574.6092,0.1023
