epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8772,0.0000,0.8557,621.6190,0.0986,0.9339,0.0000,0.9311,557.6710,0.0571
1,0.9662,0.0011,0.9654,595.2664,0.0380,0.9840,0.0000,0.9839,542.4797,0.0231
2,0.9957,0.4093,0.9957,583.1305,0.0111,1.0000,1.0000,1.0000,533.0052,0.0020
3,1.0000,0.9937,1.0000,578.7620,0.0016,1.0000,1.0000,1.0000,532.2733,0.0009
4,1.0000,0.9937,1.0000,578.5169,0.0010,1.0000,1.0000,1.0000,532.1045,0.0006
5,1.0000,0.9937,1.0000,578.4257,0.0007,1.0000,1.0000,1.0000,532.1771,0.0005
6,1.0000,0.9937,1.0000,578.3643,0.0005,1.0000,1.0000,1.0000,532.1314,0.0004
7,1.0000,0.9937,1.0000,578.3347,0.0005,1.0000,1.0000,1.0000,532.0323,0.0003
8,1.0000,0.9937,1.0000,578.3018,0.0004,1.0000,1.0000,1.0000,532.1514,0.0003
9,1.0000,0.9937,1.0000,578.2793,0.0003,1.0000,1.0000,1.0000,532.1093,0.0003
10,1.0000,0.9937,1.0000,578.2613,0.0003,1.0000,1.0000,1.0000,532.0795,0.0002
11,1.0000,0.9937,1.0000,578.2441,0.0002,1.0000,1.0000,1.0000,532.0409,0.0002
12,1.0000,0.9937,1.0000,578.2326,0.0002,1.0000,1.0000,1.0000,531.9504,0.0002
13,1.0000,0.9937,1.0000,578.2233,0.0002,1.0000,1.0000,1.0000,532.0282,0.0002
14,1.0000,0.9937,1.0000,578.2170,0.0002,1.0000,1.0000,1.0000,532.0437,0.0002
15,1.0000,0.9937,1.0000,578.2113,0.0002,1.0000,1.0000,1.0000,532.0168,0.0002
16,1.0000,0.9937,1.0000,578.2071,0.0001,1.0000,1.0000,1.0000,531.9753,0.0001
17,1.0000,0.9937,1.0000,578.2026,0.0001,1.0000,1.0000,1.0000,531.9757,0.0001
18,1.0000,0.9968,1.0000,578.1985,0.0001,1.0000,1.0000,1.0000,531.9498,0.0001
19,1.0000,0.9979,1.0000,578.1947,0.0001,1.0000,1.0000,1.0000,531.9531,0.0001
