epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7966,0.0000,0.7070,647.4397,0.1756,0.8121,0.0000,0.7305,595.5830,0.1425
1,0.7989,0.0000,0.7166,644.8756,0.1491,0.8143,0.0000,0.7382,594.4678,0.1398
2,0.8045,0.0000,0.7392,641.9315,0.1425,0.8146,0.0000,0.7553,592.6608,0.1373
3,0.8122,0.0000,0.7607,639.2957,0.1368,0.8176,0.0000,0.7541,592.3611,0.1354
4,0.8193,0.0000,0.7754,637.3318,0.1324,0.8176,0.0000,0.7661,590.9057,0.1347
5,0.8245,0.0000,0.7860,635.8392,0.1292,0.8200,0.0000,0.7739,590.2754,0.1334
6,0.8290,0.0000,0.7943,634.5731,0.1265,0.8205,0.0000,0.7729,590.3401,0.1332
7,0.8324,0.0000,0.7999,633.6982,0.1244,0.8224,0.0000,0.7742,590.0186,0.1325
8,0.8349,0.0000,0.8043,632.9077,0.1227,0.8225,0.0000,0.7811,589.0941,0.1318
9,0.8372,0.0000,0.8082,632.2452,0.1214,0.8239,0.0000,0.7828,588.7331,0.1307
10,0.8396,0.0000,0.8118,631.5871,0.1198,0.8236,0.0000,0.7828,588.8200,0.1313
11,0.8419,0.0000,0.8155,630.9725,0.1184,0.8246,0.0000,0.7869,588.4039,0.1310
12,0.8440,0.0000,0.8186,630.4248,0.1173,0.8258,0.0000,0.7863,588.4808,0.1297
13,0.8455,0.0000,0.8207,629.9673,0.1162,0.8263,0.0000,0.7855,588.5332,0.1304
14,0.8470,0.0000,0.8231,629.5113,0.1152,0.8270,0.0000,0.7856,588.6639,0.1300
15,0.8485,0.0000,0.8254,629.0978,0.1143,0.8275,0.0000,0.7895,588.2380,0.1303
16,0.8498,0.0000,0.8272,628.8337,0.1137,0.8271,0.0000,0.7902,587.8212,0.1295
17,0.8511,0.0000,0.8292,628.4923,0.1130,0.8270,0.0000,0.7914,587.8044,0.1304
18,0.8522,0.0000,0.8310,628.2348,0.1124,0.8258,0.0000,0.7876,588.1062,0.1304
19,0.8533,0.0000,0.8324,627.9241,0.1117,0.8280,0.0000,0.7928,587.6378,0.1298
