epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7980,0.0000,0.7141,646.7377,0.1551,0.8136,0.0000,0.7347,594.8031,0.1388
1,0.8031,0.0000,0.7329,642.9446,0.1445,0.8165,0.0000,0.7472,592.9789,0.1358
2,0.8090,0.0000,0.7495,640.5782,0.1394,0.8182,0.0000,0.7523,592.1753,0.1338
3,0.8115,0.0000,0.7575,639.3746,0.1369,0.8176,0.0000,0.7592,591.3911,0.1341
4,0.8144,0.0000,0.7640,638.4292,0.1348,0.8177,0.0000,0.7582,591.4962,0.1336
5,0.8182,0.0000,0.7707,637.5722,0.1329,0.8191,0.0000,0.7629,590.7899,0.1321
6,0.8215,0.0000,0.7771,636.8115,0.1311,0.8189,0.0000,0.7624,591.0908,0.1336
7,0.8243,0.0000,0.7820,636.1745,0.1297,0.8177,0.0000,0.7622,591.0299,0.1337
8,0.8274,0.0000,0.7875,635.4409,0.1281,0.8162,0.0000,0.7606,591.1429,0.1341
9,0.8287,0.0000,0.7897,635.0190,0.1272,0.8175,0.0000,0.7669,590.5554,0.1341
10,0.8287,0.0000,0.7899,634.9697,0.1271,0.8170,0.0000,0.7685,590.1402,0.1348
11,0.8307,0.0000,0.7933,634.3753,0.1258,0.8170,0.0000,0.7675,590.7823,0.1344
12,0.8319,0.0000,0.7953,633.9063,0.1248,0.8181,0.0000,0.7665,590.6680,0.1344
13,0.8330,0.0000,0.7970,633.5467,0.1238,0.8169,0.0000,0.7704,590.0987,0.1346
14,0.8333,0.0000,0.7977,633.3865,0.1236,0.8185,0.0000,0.7686,590.1541,0.1331
15,0.8330,0.0000,0.7973,633.3946,0.1237,0.8167,0.0000,0.7671,590.7534,0.1351
16,0.8336,0.0000,0.7978,633.2790,0.1233,0.8179,0.0000,0.7677,590.4537,0.1350
17,0.8351,0.0000,0.8012,632.7321,0.1222,0.8176,0.0000,0.7663,590.4947,0.1338
18,0.8361,0.0000,0.8020,632.4549,0.1214,0.8202,0.0000,0.7724,589.8613,0.1333
19,0.8333,0.0000,0.7979,633.1946,0.1234,0.8203,0.0000,0.7677,590.1472,0.1324
