epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8290,0.0000,0.7883,636.7342,0.1326,0.8603,0.0000,0.8335,580.5655,0.1066
1,0.8671,0.0000,0.8483,622.7329,0.0993,0.8832,0.0000,0.8670,570.3708,0.0860
2,0.8929,0.0000,0.8819,613.7553,0.0792,0.9026,0.0000,0.8932,563.1280,0.0707
3,0.9100,0.0000,0.9041,606.9505,0.0641,0.9101,0.0000,0.9044,559.9229,0.0617
4,0.9151,0.0000,0.9115,604.0777,0.0582,0.9127,0.0000,0.9086,558.5443,0.0582
5,0.9176,0.0000,0.9149,602.7095,0.0553,0.9133,0.0000,0.9096,557.7380,0.0568
6,0.9195,0.0000,0.9173,601.8058,0.0532,0.9143,0.0000,0.9119,556.4179,0.0558
7,0.9216,0.0000,0.9198,601.0419,0.0515,0.9142,0.0000,0.9114,556.5614,0.0542
8,0.9234,0.0000,0.9219,600.5594,0.0503,0.9158,0.0000,0.9144,555.3904,0.0532
9,0.9272,0.0000,0.9260,600.0745,0.0493,0.9161,0.0000,0.9154,555.5532,0.0552
10,0.9345,0.0000,0.9336,599.3963,0.0478,0.9276,0.0000,0.9263,554.8455,0.0535
11,0.9455,0.0000,0.9447,598.1959,0.0452,0.9364,0.0000,0.9349,554.2703,0.0501
12,0.9561,0.0000,0.9556,596.6886,0.0418,0.9376,0.0000,0.9372,552.4037,0.0537
13,0.9677,0.0011,0.9674,594.5246,0.0371,0.9540,0.0000,0.9533,551.1709,0.0445
14,0.9758,0.0069,0.9756,592.6196,0.0327,0.9607,0.0000,0.9605,548.9389,0.0413
15,0.9804,0.0200,0.9804,591.1983,0.0295,0.9525,0.0000,0.9523,550.0761,0.0466
16,0.9833,0.0364,0.9832,590.1939,0.0273,0.9660,0.0000,0.9658,548.0845,0.0374
17,0.9853,0.0485,0.9852,589.4566,0.0257,0.9645,0.0000,0.9643,547.3533,0.0384
18,0.9868,0.0464,0.9868,588.8342,0.0243,0.9697,0.0000,0.9695,546.4541,0.0350
19,0.9879,0.0585,0.9879,588.4666,0.0234,0.9683,0.0000,0.9681,546.3692,0.0362
