epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7856,0.0000,0.7042,648.9349,0.1738,0.8119,0.0000,0.7280,597.0802,0.1478
1,0.7965,0.0000,0.7076,645.9527,0.1543,0.8121,0.0000,0.7286,595.3414,0.1427
2,0.7992,0.0000,0.7180,644.2221,0.1501,0.8138,0.0000,0.7363,594.1474,0.1405
3,0.8037,0.0000,0.7346,642.2359,0.1456,0.8152,0.0000,0.7435,593.2796,0.1389
4,0.8095,0.0000,0.7497,640.2373,0.1413,0.8148,0.0000,0.7487,592.6196,0.1386
5,0.8141,0.0000,0.7593,638.8360,0.1382,0.8154,0.0000,0.7505,592.2322,0.1380
6,0.8178,0.0000,0.7670,637.9183,0.1362,0.8170,0.0000,0.7522,592.1850,0.1373
7,0.8203,0.0000,0.7726,637.2139,0.1347,0.8174,0.0000,0.7556,591.6926,0.1363
8,0.8221,0.0000,0.7765,636.6395,0.1335,0.8171,0.0000,0.7579,591.5516,0.1364
9,0.8237,0.0000,0.7793,636.1390,0.1323,0.8170,0.0000,0.7586,591.4841,0.1365
10,0.8250,0.0000,0.7823,635.6073,0.1312,0.8188,0.0000,0.7608,591.0786,0.1354
11,0.8259,0.0000,0.7832,635.2941,0.1304,0.8175,0.0000,0.7597,591.2583,0.1361
12,0.8267,0.0000,0.7851,634.9995,0.1298,0.8197,0.0000,0.7639,590.8735,0.1350
13,0.8280,0.0000,0.7876,634.5644,0.1288,0.8193,0.0000,0.7605,590.9560,0.1348
14,0.8290,0.0000,0.7891,634.2930,0.1281,0.8198,0.0000,0.7633,590.9823,0.1349
15,0.8298,0.0000,0.7912,633.9844,0.1275,0.8203,0.0000,0.7667,590.5924,0.1346
16,0.8305,0.0000,0.7917,633.8163,0.1271,0.8199,0.0000,0.7643,590.7027,0.1344
17,0.8311,0.0000,0.7931,633.6203,0.1267,0.8205,0.0000,0.7654,590.7020,0.1345
18,0.8322,0.0000,0.7949,633.4230,0.1263,0.8204,0.0000,0.7650,590.5224,0.1338
19,0.8334,0.0000,0.7964,633.1651,0.1257,0.8203,0.0000,0.7664,590.4449,0.1341
