epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7746,0.0000,0.7029,650.7208,0.1981,0.8115,0.0000,0.7305,598.3367,0.1557
1,0.7969,0.0000,0.7118,647.3936,0.1621,0.8120,0.0000,0.7299,597.8525,0.1526
2,0.7987,0.0000,0.7159,646.5150,0.1581,0.8125,0.0000,0.7301,597.2050,0.1481
3,0.7997,0.0000,0.7202,645.5010,0.1534,0.8122,0.0000,0.7336,596.0210,0.1446
4,0.8018,0.0000,0.7279,644.3456,0.1505,0.8132,0.0000,0.7353,595.4652,0.1425
5,0.8047,0.0000,0.7356,643.2861,0.1478,0.8137,0.0000,0.7369,594.9508,0.1415
6,0.8070,0.0000,0.7419,642.3781,0.1457,0.8147,0.0000,0.7390,594.4355,0.1403
7,0.8098,0.0000,0.7483,641.4763,0.1437,0.8167,0.0000,0.7440,593.9607,0.1387
8,0.8125,0.0000,0.7542,640.5221,0.1416,0.8166,0.0000,0.7453,593.9112,0.1387
9,0.8151,0.0000,0.7600,639.4811,0.1392,0.8177,0.0000,0.7495,593.0845,0.1373
10,0.8166,0.0000,0.7631,638.9500,0.1379,0.8185,0.0000,0.7483,593.2030,0.1368
11,0.8182,0.0000,0.7665,638.3035,0.1366,0.8190,0.0000,0.7503,592.6357,0.1357
12,0.8193,0.0000,0.7683,637.9802,0.1358,0.8189,0.0000,0.7525,592.2239,0.1357
13,0.8206,0.0000,0.7711,637.4717,0.1347,0.8197,0.0000,0.7517,592.4155,0.1358
14,0.8212,0.0000,0.7720,637.2712,0.1342,0.8191,0.0000,0.7506,592.5460,0.1360
15,0.8218,0.0000,0.7733,637.0589,0.1339,0.8200,0.0000,0.7514,592.1919,0.1353
16,0.8225,0.0000,0.7750,636.7295,0.1330,0.8203,0.0000,0.7534,592.1283,0.1346
17,0.8227,0.0000,0.7752,636.6785,0.1329,0.8208,0.0000,0.7536,592.1777,0.1344
18,0.8229,0.0000,0.7751,636.6232,0.1328,0.8201,0.0000,0.7539,592.0676,0.1348
19,0.8237,0.0000,0.7770,636.3782,0.1323,0.8204,0.0000,0.7552,591.9883,0.1348
