epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8054,0.0000,0.7627,640.1754,0.1592,0.8593,0.0000,0.8347,578.0570,0.1065
1,0.8750,0.0000,0.8590,620.0919,0.0965,0.9188,0.0000,0.9122,561.3762,0.0649
2,0.9270,0.0000,0.9225,603.8100,0.0575,0.9482,0.0000,0.9461,549.7433,0.0385
3,0.9601,0.0000,0.9591,593.7293,0.0341,0.9760,0.0000,0.9753,541.6514,0.0200
4,0.9757,0.0000,0.9751,588.1480,0.0210,0.9815,0.0000,0.9812,540.2256,0.0141
5,0.9946,0.2616,0.9945,583.5576,0.0104,0.9994,0.7500,0.9994,533.5950,0.0026
6,0.9992,0.6772,0.9992,580.5576,0.0047,0.9996,0.8112,0.9996,533.2984,0.0020
7,0.9995,0.8059,0.9995,579.9986,0.0038,0.9997,0.8418,0.9997,532.8200,0.0009
8,0.9996,0.8518,0.9996,579.6898,0.0031,0.9996,0.8520,0.9996,532.2521,0.0007
9,0.9997,0.8745,0.9997,579.5156,0.0028,0.9999,0.9643,0.9999,531.5294,0.0007
10,0.9997,0.8982,0.9997,579.4746,0.0027,0.9999,0.9592,0.9999,532.4059,0.0007
11,0.9998,0.9272,0.9998,579.3395,0.0025,0.9999,0.9643,0.9999,531.8612,0.0005
12,0.9998,0.9372,0.9998,579.2945,0.0024,0.9999,0.9592,0.9999,531.8149,0.0007
13,0.9999,0.9441,0.9999,579.2431,0.0023,0.9999,0.9541,0.9999,531.0546,0.0007
14,0.9999,0.9425,0.9999,579.1907,0.0022,0.9998,0.9592,0.9998,532.4351,0.0008
15,0.9999,0.9488,0.9999,579.1016,0.0019,1.0000,0.9898,1.0000,531.8007,0.0004
16,0.9999,0.9504,0.9999,579.1401,0.0020,0.9999,0.9592,0.9999,531.6794,0.0007
17,0.9999,0.9604,0.9999,579.0132,0.0017,0.9999,0.9643,0.9999,531.5842,0.0005
18,0.9999,0.9615,0.9999,578.9669,0.0017,0.9997,0.9490,0.9997,531.8415,0.0006
19,0.9999,0.9652,0.9999,578.9497,0.0016,1.0000,0.9898,1.0000,531.2550,0.0006
