epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7722,0.0000,0.7029,649.9495,0.1938,0.8117,0.0000,0.7289,597.5023,0.1521
1,0.7972,0.0000,0.7124,646.7306,0.1598,0.8122,0.0000,0.7318,596.5914,0.1489
2,0.7981,0.0000,0.7171,645.8997,0.1562,0.8126,0.0000,0.7319,595.9706,0.1460
3,0.7993,0.0000,0.7211,645.1444,0.1538,0.8133,0.0000,0.7340,595.4157,0.1445
4,0.8008,0.0000,0.7267,644.1236,0.1508,0.8127,0.0000,0.7350,595.1323,0.1433
5,0.8038,0.0000,0.7359,643.2540,0.1486,0.8146,0.0000,0.7412,594.6469,0.1422
6,0.8058,0.0000,0.7422,642.4442,0.1467,0.8154,0.0000,0.7416,594.4882,0.1413
7,0.8083,0.0000,0.7475,641.6855,0.1448,0.8153,0.0000,0.7409,594.3055,0.1405
8,0.8115,0.0000,0.7540,640.9247,0.1429,0.8175,0.0000,0.7473,593.7513,0.1389
9,0.8130,0.0000,0.7572,640.4126,0.1417,0.8152,0.0000,0.7395,594.4469,0.1400
10,0.8146,0.0000,0.7605,639.8424,0.1402,0.8185,0.0000,0.7498,593.2787,0.1379
11,0.8160,0.0000,0.7631,639.3753,0.1391,0.8174,0.0000,0.7471,593.5815,0.1379
12,0.8183,0.0000,0.7671,638.7829,0.1377,0.8180,0.0000,0.7523,592.9110,0.1376
13,0.8189,0.0000,0.7678,638.5475,0.1372,0.8190,0.0000,0.7520,592.9290,0.1368
14,0.8201,0.0000,0.7702,638.1459,0.1363,0.8188,0.0000,0.7513,592.7478,0.1365
15,0.8205,0.0000,0.7713,637.9739,0.1359,0.8190,0.0000,0.7527,592.6235,0.1360
16,0.8212,0.0000,0.7729,637.7042,0.1353,0.8192,0.0000,0.7559,592.3055,0.1360
17,0.8216,0.0000,0.7735,637.5149,0.1349,0.8206,0.0000,0.7550,592.3776,0.1354
18,0.8223,0.0000,0.7748,637.2549,0.1343,0.8202,0.0000,0.7533,592.5694,0.1359
19,0.8230,0.0000,0.7765,637.0225,0.1338,0.8206,0.0000,0.7616,591.9141,0.1356
