epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7819,0.0000,0.7152,654.8483,0.1963,0.8123,0.0000,0.7404,597.4261,0.1501
1,0.7991,0.0000,0.7229,646.8831,0.1573,0.8143,0.0000,0.7455,596.3324,0.1465
2,0.8006,0.0000,0.7291,645.9890,0.1544,0.8160,0.0000,0.7532,595.2692,0.1435
3,0.8025,0.0000,0.7374,645.0131,0.1517,0.8174,0.0000,0.7588,594.4357,0.1411
4,0.8035,0.0000,0.7430,643.9029,0.1488,0.8183,0.0000,0.7635,592.1609,0.1346
5,0.8042,0.0000,0.7520,641.1756,0.1421,0.8193,0.0000,0.7705,590.3063,0.1301
6,0.8062,0.0000,0.7579,639.9935,0.1394,0.8203,0.0000,0.7756,589.6971,0.1292
7,0.8084,0.0000,0.7628,639.2669,0.1378,0.8222,0.0000,0.7792,589.0703,0.1282
8,0.8102,0.0000,0.7676,638.6841,0.1365,0.8247,0.0000,0.7839,588.5944,0.1268
9,0.8130,0.0000,0.7753,638.0251,0.1351,0.8261,0.0000,0.7933,587.9734,0.1259
10,0.8140,0.0000,0.7776,637.6358,0.1343,0.8248,0.0000,0.7928,587.7862,0.1255
11,0.8155,0.0000,0.7809,637.2012,0.1333,0.8257,0.0000,0.7932,587.9118,0.1254
12,0.8169,0.0000,0.7843,636.8062,0.1324,0.8262,0.0000,0.7943,587.5181,0.1249
13,0.8183,0.0000,0.7866,636.4261,0.1316,0.8277,0.0000,0.7937,587.3911,0.1238
14,0.8197,0.0000,0.7883,636.0693,0.1308,0.8280,0.0000,0.7956,586.9298,0.1230
15,0.8218,0.0000,0.7908,635.6713,0.1299,0.8294,0.0000,0.7976,586.5531,0.1225
16,0.8236,0.0000,0.7931,635.3020,0.1291,0.8332,0.0000,0.8033,586.1027,0.1217
17,0.8252,0.0000,0.7949,634.9613,0.1283,0.8334,0.0000,0.8024,586.1241,0.1213
18,0.8263,0.0000,0.7964,634.7159,0.1278,0.8352,0.0000,0.8054,585.8394,0.1210
19,0.8278,0.0000,0.7983,634.4047,0.1271,0.8360,0.0000,0.8056,585.9393,0.1203
